,Date,Open,High,Low,Adj Close,Volume
224,2022-06-17,65.650002,69.400002,65.300003,67.050003,33597224
544,2023-10-03,101.0,105.900002,100.0,105.300003,82983688
73,2021-11-09,133.0,138.899994,131.649994,137.649994,26457361
47,2021-09-30,139.199997,139.199997,136.149994,136.600006,7825751
113,2022-01-05,137.899994,137.899994,133.300003,133.949997,15874857
96,2021-12-13,142.199997,144.449997,141.899994,142.649994,20318225
214,2022-06-03,73.900002,74.849998,71.199997,72.150002,35779760
569,2023-11-08,122.0,125.699997,121.300003,125.150002,75041688
123,2022-01-19,131.699997,132.399994,128.25,129.199997,27812341
106,2021-12-27,131.350006,133.850006,128.0,132.75,13934154
595,2023-12-18,123.400002,129.199997,121.550003,128.550003,89553155
